Frequency(Hz),Real,Imaginary
1.324623e+01,-1.375295e+00,-8.929308e-02
1.338960e+01,-1.369733e+00,-9.104240e-02
1.353453e+01,-1.355785e+00,-8.404451e-02
1.368102e+01,-1.335055e+00,-8.300975e-02
1.382910e+01,-1.333880e+00,-8.580463e-02
1.397878e+01,-1.320069e+00,-8.248270e-02
1.413008e+01,-1.312949e+00,-7.596857e-02
1.428302e+01,-1.302262e+00,-7.148546e-02
1.443761e+01,-1.292715e+00,-7.086859e-02
1.459388e+01,-1.285635e+00,-7.129517e-02
1.475184e+01,-1.276234e+00,-6.470484e-02
1.491151e+01,-1.267406e+00,-6.291335e-02
1.507290e+01,-1.262168e+00,-5.833240e-02
1.523605e+01,-1.257484e+00,-6.246268e-02
1.540096e+01,-1.245680e+00,-5.863366e-02
1.556765e+01,-1.240800e+00,-5.841914e-02
1.573615e+01,-1.235339e+00,-5.578097e-02
1.590647e+01,-1.230879e+00,-5.349598e-02
1.607864e+01,-1.222093e+00,-5.470413e-02
1.625267e+01,-1.219827e+00,-4.982284e-02
1.642858e+01,-1.208633e+00,-5.209166e-02
1.660640e+01,-1.206327e+00,-4.950979e-02
1.678614e+01,-1.198366e+00,-4.603656e-02
1.696782e+01,-1.198432e+00,-4.638473e-02
1.715148e+01,-1.185473e+00,-4.850882e-02
1.733712e+01,-1.183576e+00,-4.909540e-02
1.752477e+01,-1.178329e+00,-4.196565e-02
1.771445e+01,-1.174712e+00,-3.995444e-02
1.790619e+01,-1.168970e+00,-3.907284e-02
1.809999e+01,-1.158962e+00,-4.561880e-02
1.829590e+01,-1.161979e+00,-3.994370e-02
1.849393e+01,-1.154562e+00,-4.228339e-02
1.869410e+01,-1.153182e+00,-3.759612e-02
1.889644e+01,-1.151121e+00,-3.558822e-02
1.910097e+01,-1.146099e+00,-3.365505e-02
1.930771e+01,-1.144994e+00,-3.736320e-02
1.951669e+01,-1.139852e+00,-3.295195e-02
1.972793e+01,-1.135540e+00,-3.370402e-02
1.994146e+01,-1.133927e+00,-3.077428e-02
2.015730e+01,-1.131991e+00,-3.189420e-02
2.037547e+01,-1.124466e+00,-3.269177e-02
2.059601e+01,-1.125362e+00,-3.076588e-02
2.081893e+01,-1.118613e+00,-2.646511e-02
2.104427e+01,-1.118618e+00,-2.993676e-02
2.127205e+01,-1.112620e+00,-3.280411e-02
2.150229e+01,-1.114218e+00,-2.684563e-02
2.173502e+01,-1.114611e+00,-2.765707e-02
2.197027e+01,-1.110209e+00,-2.794531e-02
2.220807e+01,-1.100885e+00,-2.503447e-02
2.244844e+01,-1.103434e+00,-2.923362e-02
2.269141e+01,-1.101111e+00,-2.303037e-02
2.293702e+01,-1.096944e+00,-2.318839e-02
2.318528e+01,-1.097234e+00,-2.570064e-02
2.343623e+01,-1.092050e+00,-2.436256e-02
2.368989e+01,-1.088252e+00,-2.297045e-02
2.394630e+01,-1.090112e+00,-2.280033e-02
2.420549e+01,-1.087215e+00,-2.527800e-02
2.446748e+01,-1.085762e+00,-2.671938e-02
2.473231e+01,-1.083890e+00,-1.786158e-02
2.500000e+01,-1.085378e+00,-2.491687e-02
